[2026-05-17 20:03:15,064 | INFO]: Starting scan...
[2026-05-17 20:03:15,068 | DEBUG]: Verifying radius 32...
[2026-05-17 20:03:15,181 | INFO]: Reducing radius to 31
[2026-05-17 20:03:15,181 | DEBUG]: Verifying radius 31...
[2026-05-17 20:03:15,290 | INFO]: Reducing radius to 30
[2026-05-17 20:03:15,290 | DEBUG]: Verifying radius 30...
[2026-05-17 20:03:15,398 | INFO]: Reducing radius to 29
[2026-05-17 20:03:15,398 | DEBUG]: Verifying radius 29...
[2026-05-17 20:03:15,508 | INFO]: Reducing radius to 28
[2026-05-17 20:03:15,508 | DEBUG]: Verifying radius 28...
[2026-05-17 20:03:15,618 | INFO]: Reducing radius to 27
[2026-05-17 20:03:15,618 | DEBUG]: Verifying radius 27...
[2026-05-17 20:03:15,728 | INFO]: Reducing radius to 26
[2026-05-17 20:03:15,728 | DEBUG]: Verifying radius 26...
[2026-05-17 20:03:15,839 | INFO]: Reducing radius to 25
[2026-05-17 20:03:15,840 | DEBUG]: Verifying radius 25...
[2026-05-17 20:03:15,982 | INFO]: Reducing radius to 24
[2026-05-17 20:03:15,983 | DEBUG]: Verifying radius 24...
[2026-05-17 20:03:16,123 | INFO]: Reducing radius to 23
[2026-05-17 20:03:16,123 | DEBUG]: Verifying radius 23...
[2026-05-17 20:03:16,263 | INFO]: Reducing radius to 22
[2026-05-17 20:03:16,263 | DEBUG]: Verifying radius 22...
[2026-05-17 20:03:16,594 | INFO]: Reducing radius to 21
[2026-05-17 20:03:16,594 | DEBUG]: Verifying radius 21...
[2026-05-17 20:03:16,817 | INFO]: Verified radius 21. Collecting block data...
[2026-05-17 20:03:26,911 | INFO]: Scan successfully completed at radius: 21
[2026-05-17 20:03:26,911 | INFO]: Finished scanning...
[2026-05-17 20:03:26,911 | INFO]: Starting filter...
[2026-05-17 20:03:26,914 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:26,917 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:26,982 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:26,995 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,076 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,086 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,096 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,181 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,220 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,312 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,320 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,374 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,422 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,630 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,680 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,693 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,713 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,872 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:27,906 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,101 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,329 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,625 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,632 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,810 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,874 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:28,948 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,013 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,043 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,045 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,079 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,265 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,277 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,343 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,605 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,636 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,764 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:29,969 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,004 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,048 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,075 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,106 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,138 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,235 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,299 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,364 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,390 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,429 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,519 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,611 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,613 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,620 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,700 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,752 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:30,890 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,086 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,220 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,224 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,280 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,478 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,530 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,532 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,581 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,589 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,596 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,703 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,817 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,850 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:31,964 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,189 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,299 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,309 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,463 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,567 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,589 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,626 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,654 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:03:32,660 | DEBUG]: Successfully colleted local detection blocks
