[2026-05-17 20:15:15,261 | INFO]: Starting scan...
[2026-05-17 20:15:15,264 | DEBUG]: Verifying radius 32...
[2026-05-17 20:15:15,366 | INFO]: Reducing radius to 31
[2026-05-17 20:15:15,367 | DEBUG]: Verifying radius 31...
[2026-05-17 20:15:15,476 | INFO]: Reducing radius to 30
[2026-05-17 20:15:15,476 | DEBUG]: Verifying radius 30...
[2026-05-17 20:15:15,586 | INFO]: Reducing radius to 29
[2026-05-17 20:15:15,586 | DEBUG]: Verifying radius 29...
[2026-05-17 20:15:15,696 | INFO]: Reducing radius to 28
[2026-05-17 20:15:15,696 | DEBUG]: Verifying radius 28...
[2026-05-17 20:15:15,806 | INFO]: Reducing radius to 27
[2026-05-17 20:15:15,806 | DEBUG]: Verifying radius 27...
[2026-05-17 20:15:15,916 | INFO]: Reducing radius to 26
[2026-05-17 20:15:15,917 | DEBUG]: Verifying radius 26...
[2026-05-17 20:15:16,025 | INFO]: Reducing radius to 25
[2026-05-17 20:15:16,025 | DEBUG]: Verifying radius 25...
[2026-05-17 20:15:16,168 | INFO]: Reducing radius to 24
[2026-05-17 20:15:16,168 | DEBUG]: Verifying radius 24...
[2026-05-17 20:15:16,309 | INFO]: Reducing radius to 23
[2026-05-17 20:15:16,310 | DEBUG]: Verifying radius 23...
[2026-05-17 20:15:16,452 | INFO]: Reducing radius to 22
[2026-05-17 20:15:16,453 | DEBUG]: Verifying radius 22...
[2026-05-17 20:15:16,779 | INFO]: Reducing radius to 21
[2026-05-17 20:15:16,780 | DEBUG]: Verifying radius 21...
[2026-05-17 20:15:17,000 | INFO]: Verified radius 21. Collecting block data...
[2026-05-17 20:15:25,203 | INFO]: Scan successfully completed at radius: 21
[2026-05-17 20:15:25,204 | INFO]: Finished scanning...
[2026-05-17 20:15:25,204 | INFO]: Starting filter...
[2026-05-17 20:15:25,357 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:25,392 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:25,521 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,086 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,387 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,407 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,557 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,622 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,655 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,656 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:26,672 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,002 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,051 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,074 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,370 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,580 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,591 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:27,667 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,045 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,053 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,101 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,146 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,248 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,652 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,909 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:28,914 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,004 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,007 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,057 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,156 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,232 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,245 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,400 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,405 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,549 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,916 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:29,931 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,137 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,159 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,241 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,397 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,548 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:30,887 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:31,302 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:15:31,333 | DEBUG]: Successfully colleted local detection blocks
