[2026-05-17 20:42:36,456 | INFO]: Starting scan...
[2026-05-17 20:42:36,461 | DEBUG]: Verifying radius 32...
[2026-05-17 20:42:38,087 | INFO]: Verified radius 32. Collecting block data...
[2026-05-17 20:42:57,039 | INFO]: Scan successfully completed at radius: 32
[2026-05-17 20:42:57,039 | INFO]: Finished scanning...
[2026-05-17 20:42:57,039 | INFO]: Starting filter...
[2026-05-17 20:42:57,061 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,067 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,090 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,132 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,171 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,190 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,218 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,255 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,257 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,259 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,260 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,262 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,264 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,265 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,359 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,369 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,392 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,394 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,421 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,447 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,474 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,481 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,482 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,507 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,545 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,574 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,575 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,621 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,636 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,638 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,640 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,641 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,679 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,691 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,720 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,748 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,749 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,789 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,795 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,824 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,849 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,876 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,877 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,880 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,882 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,884 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,924 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,931 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,953 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:57,975 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,046 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,047 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,059 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,113 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,114 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,121 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,123 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,125 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,126 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,148 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,171 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,192 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,214 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,240 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,264 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,275 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,288 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,290 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,311 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,338 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,361 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,380 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,382 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,409 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,439 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,440 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,469 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,470 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,473 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,503 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,529 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,540 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,554 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,581 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,608 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,610 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,634 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,636 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,639 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,661 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,685 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,725 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,732 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,757 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,784 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,786 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,787 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,828 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,832 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,854 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,882 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,903 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,906 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,929 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,954 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:42:58,976 | DEBUG]: Successfully colleted local detection blocks
