[2026-05-17 20:49:18,570 | INFO]: Starting scan...
[2026-05-17 20:49:18,571 | DEBUG]: Verifying radius 32...
[2026-05-17 20:49:18,681 | INFO]: Reducing radius to 31
[2026-05-17 20:49:18,682 | DEBUG]: Verifying radius 31...
[2026-05-17 20:49:18,793 | INFO]: Reducing radius to 30
[2026-05-17 20:49:18,793 | DEBUG]: Verifying radius 30...
[2026-05-17 20:49:18,905 | INFO]: Reducing radius to 29
[2026-05-17 20:49:18,905 | DEBUG]: Verifying radius 29...
[2026-05-17 20:49:19,013 | INFO]: Reducing radius to 28
[2026-05-17 20:49:19,013 | DEBUG]: Verifying radius 28...
[2026-05-17 20:49:19,123 | INFO]: Reducing radius to 27
[2026-05-17 20:49:19,123 | DEBUG]: Verifying radius 27...
[2026-05-17 20:49:19,231 | INFO]: Reducing radius to 26
[2026-05-17 20:49:19,232 | DEBUG]: Verifying radius 26...
[2026-05-17 20:49:19,339 | INFO]: Reducing radius to 25
[2026-05-17 20:49:19,340 | DEBUG]: Verifying radius 25...
[2026-05-17 20:49:19,448 | INFO]: Reducing radius to 24
[2026-05-17 20:49:19,448 | DEBUG]: Verifying radius 24...
[2026-05-17 20:49:19,559 | INFO]: Reducing radius to 23
[2026-05-17 20:49:19,559 | DEBUG]: Verifying radius 23...
[2026-05-17 20:49:19,669 | INFO]: Reducing radius to 22
[2026-05-17 20:49:19,669 | DEBUG]: Verifying radius 22...
[2026-05-17 20:49:19,778 | INFO]: Reducing radius to 21
[2026-05-17 20:49:19,778 | DEBUG]: Verifying radius 21...
[2026-05-17 20:49:19,888 | INFO]: Reducing radius to 20
[2026-05-17 20:49:19,888 | DEBUG]: Verifying radius 20...
[2026-05-17 20:49:19,997 | INFO]: Reducing radius to 19
[2026-05-17 20:49:19,998 | DEBUG]: Verifying radius 19...
[2026-05-17 20:49:20,108 | INFO]: Reducing radius to 18
[2026-05-17 20:49:20,108 | DEBUG]: Verifying radius 18...
[2026-05-17 20:49:20,217 | INFO]: Reducing radius to 17
[2026-05-17 20:49:20,217 | DEBUG]: Verifying radius 17...
[2026-05-17 20:49:20,326 | INFO]: Reducing radius to 16
[2026-05-17 20:49:20,327 | DEBUG]: Verifying radius 16...
[2026-05-17 20:49:20,437 | INFO]: Reducing radius to 15
[2026-05-17 20:49:20,438 | DEBUG]: Verifying radius 15...
[2026-05-17 20:49:20,837 | INFO]: Verified radius 15. Collecting block data...
[2026-05-17 20:49:24,801 | INFO]: Scan successfully completed at radius: 15
[2026-05-17 20:49:24,801 | INFO]: Finished scanning...
[2026-05-17 20:49:24,801 | INFO]: Starting filter...
[2026-05-17 20:49:24,852 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:24,890 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:24,877 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:24,913 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:24,944 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:24,984 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,001 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,046 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,073 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,134 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,158 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,166 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,172 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,203 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,213 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,282 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,291 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,337 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,345 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,375 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,417 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,450 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,460 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,490 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,518 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,556 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,568 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:49:25,595 | DEBUG]: Successfully colleted local detection blocks
