[2026-05-14 21:57:08,919 | INFO]: Starting scan...
[2026-05-14 21:57:09,906 | INFO]: Scan successfully return block regions
[2026-05-14 21:57:09,906 | INFO]: Starting filter...
[2026-05-14 21:57:10,738 | INFO]: Filter successfully return filtered detected blocks
[2026-05-14 21:57:10,738 | INFO]: Converting detected blocks into json...
[2026-05-14 21:57:10,739 | INFO]: Converter successfully stored detections in detection20260514215710.json
[2026-05-14 21:57:10,739 | WARNING]: Deleting: detection20260514213219.json
[2026-05-14 21:57:10,739 | WARNING]: Deleting: run_20260514210914.log
[2026-05-14 21:57:10,740 | WARNING]: Deleting: run_20260514212218.log
[2026-05-14 21:58:07,231 | INFO]: Starting scan...
[2026-05-14 21:58:08,316 | INFO]: Scan successfully return block regions
[2026-05-14 21:58:08,316 | INFO]: Starting filter...
[2026-05-14 21:58:09,274 | INFO]: Filter successfully return filtered detected blocks
[2026-05-14 21:58:09,274 | INFO]: Converting detected blocks into json...
[2026-05-14 21:58:09,275 | INFO]: Converter successfully stored detections in detection20260514215809.json
[2026-05-14 21:58:09,275 | WARNING]: Deleting: detection20260514213250.json
[2026-05-14 22:00:29,684 | INFO]: Starting scan...
[2026-05-14 22:00:30,732 | INFO]: Scan successfully return block regions
[2026-05-14 22:00:30,732 | INFO]: Starting filter...
[2026-05-14 22:00:32,063 | INFO]: Filter successfully return filtered detected blocks
[2026-05-14 22:00:32,063 | INFO]: Converting detected blocks into json...
[2026-05-14 22:00:32,065 | INFO]: Converter successfully stored detections in detection20260514220032.json
[2026-05-14 22:00:32,065 | WARNING]: Deleting: detection20260514213640.json
