[2026-05-17 20:24:26,090 | INFO]: Starting scan...
[2026-05-17 20:24:26,093 | DEBUG]: Verifying radius 32...
[2026-05-17 20:24:26,204 | INFO]: Reducing radius to 31
[2026-05-17 20:24:26,205 | DEBUG]: Verifying radius 31...
[2026-05-17 20:24:26,314 | INFO]: Reducing radius to 30
[2026-05-17 20:24:26,314 | DEBUG]: Verifying radius 30...
[2026-05-17 20:24:26,423 | INFO]: Reducing radius to 29
[2026-05-17 20:24:26,423 | DEBUG]: Verifying radius 29...
[2026-05-17 20:24:26,535 | INFO]: Reducing radius to 28
[2026-05-17 20:24:26,536 | DEBUG]: Verifying radius 28...
[2026-05-17 20:24:26,647 | INFO]: Reducing radius to 27
[2026-05-17 20:24:26,647 | DEBUG]: Verifying radius 27...
[2026-05-17 20:24:26,755 | INFO]: Reducing radius to 26
[2026-05-17 20:24:26,756 | DEBUG]: Verifying radius 26...
[2026-05-17 20:24:26,865 | INFO]: Reducing radius to 25
[2026-05-17 20:24:26,866 | DEBUG]: Verifying radius 25...
[2026-05-17 20:24:27,007 | INFO]: Reducing radius to 24
[2026-05-17 20:24:27,007 | DEBUG]: Verifying radius 24...
[2026-05-17 20:24:27,150 | INFO]: Reducing radius to 23
[2026-05-17 20:24:27,150 | DEBUG]: Verifying radius 23...
[2026-05-17 20:24:27,293 | INFO]: Reducing radius to 22
[2026-05-17 20:24:27,294 | DEBUG]: Verifying radius 22...
[2026-05-17 20:24:27,624 | INFO]: Reducing radius to 21
[2026-05-17 20:24:27,624 | DEBUG]: Verifying radius 21...
[2026-05-17 20:24:27,850 | INFO]: Verified radius 21. Collecting block data...
[2026-05-17 20:24:35,930 | INFO]: Scan successfully completed at radius: 21
[2026-05-17 20:24:35,931 | INFO]: Finished scanning...
[2026-05-17 20:24:35,931 | INFO]: Starting filter...
[2026-05-17 20:24:36,124 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:36,273 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:36,711 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:36,734 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:36,873 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:36,885 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,036 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,167 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,486 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,486 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,604 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,822 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:37,853 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,206 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,241 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,262 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,322 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,531 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,587 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,698 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,850 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:24:38,948 | DEBUG]: Successfully colleted local detection blocks
