[2026-05-17 21:12:16,346 | INFO]: Starting scan...
[2026-05-17 21:12:16,349 | DEBUG]: Verifying radius 32...
[2026-05-17 21:12:16,458 | INFO]: Reducing radius to 31
[2026-05-17 21:12:16,458 | DEBUG]: Verifying radius 31...
[2026-05-17 21:12:16,564 | INFO]: Reducing radius to 30
[2026-05-17 21:12:16,564 | DEBUG]: Verifying radius 30...
[2026-05-17 21:12:16,671 | INFO]: Reducing radius to 29
[2026-05-17 21:12:16,671 | DEBUG]: Verifying radius 29...
[2026-05-17 21:12:16,779 | INFO]: Reducing radius to 28
[2026-05-17 21:12:16,779 | DEBUG]: Verifying radius 28...
[2026-05-17 21:12:16,886 | INFO]: Reducing radius to 27
[2026-05-17 21:12:16,886 | DEBUG]: Verifying radius 27...
[2026-05-17 21:12:16,993 | INFO]: Reducing radius to 26
[2026-05-17 21:12:16,995 | DEBUG]: Verifying radius 26...
[2026-05-17 21:12:17,100 | INFO]: Reducing radius to 25
[2026-05-17 21:12:17,101 | DEBUG]: Verifying radius 25...
[2026-05-17 21:12:17,208 | INFO]: Reducing radius to 24
[2026-05-17 21:12:17,208 | DEBUG]: Verifying radius 24...
[2026-05-17 21:12:17,315 | INFO]: Reducing radius to 23
[2026-05-17 21:12:17,315 | DEBUG]: Verifying radius 23...
[2026-05-17 21:12:17,422 | INFO]: Reducing radius to 22
[2026-05-17 21:12:17,422 | DEBUG]: Verifying radius 22...
[2026-05-17 21:12:17,529 | INFO]: Reducing radius to 21
[2026-05-17 21:12:17,529 | DEBUG]: Verifying radius 21...
[2026-05-17 21:12:17,635 | INFO]: Reducing radius to 20
[2026-05-17 21:12:17,636 | DEBUG]: Verifying radius 20...
[2026-05-17 21:12:17,743 | INFO]: Reducing radius to 19
[2026-05-17 21:12:17,743 | DEBUG]: Verifying radius 19...
[2026-05-17 21:12:17,850 | INFO]: Reducing radius to 18
[2026-05-17 21:12:17,850 | DEBUG]: Verifying radius 18...
[2026-05-17 21:12:18,360 | INFO]: Verified radius 18. Collecting block data...
[2026-05-17 21:12:24,617 | INFO]: Scan successfully completed at radius: 18
[2026-05-17 21:12:24,617 | INFO]: Finished scanning...
[2026-05-17 21:12:24,617 | INFO]: Starting filter...
[2026-05-17 21:12:24,739 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,753 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,781 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,817 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,845 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,906 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,947 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,957 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:24,994 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,046 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,054 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,102 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,160 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,209 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,211 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,265 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,382 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,400 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,409 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,519 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,606 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,620 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,645 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,720 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,804 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,856 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,859 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,873 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,962 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:25,986 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,053 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,137 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,225 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,271 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,274 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,286 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,338 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,377 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,415 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,436 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,509 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,554 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,575 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,679 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,695 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,732 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,817 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,830 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,889 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,943 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:12:26,993 | DEBUG]: Successfully colleted local detection blocks
