[2026-05-17 20:40:47,035 | INFO]: Starting scan...
[2026-05-17 20:40:47,039 | DEBUG]: Verifying radius 32...
[2026-05-17 20:40:47,141 | INFO]: Reducing radius to 31
[2026-05-17 20:40:47,142 | DEBUG]: Verifying radius 31...
[2026-05-17 20:40:47,252 | INFO]: Reducing radius to 30
[2026-05-17 20:40:47,252 | DEBUG]: Verifying radius 30...
[2026-05-17 20:40:47,363 | INFO]: Reducing radius to 29
[2026-05-17 20:40:47,363 | DEBUG]: Verifying radius 29...
[2026-05-17 20:40:47,475 | INFO]: Reducing radius to 28
[2026-05-17 20:40:47,475 | DEBUG]: Verifying radius 28...
[2026-05-17 20:40:47,585 | INFO]: Reducing radius to 27
[2026-05-17 20:40:47,585 | DEBUG]: Verifying radius 27...
[2026-05-17 20:40:47,695 | INFO]: Reducing radius to 26
[2026-05-17 20:40:47,695 | DEBUG]: Verifying radius 26...
[2026-05-17 20:40:47,867 | INFO]: Reducing radius to 25
[2026-05-17 20:40:47,867 | DEBUG]: Verifying radius 25...
[2026-05-17 20:40:48,038 | INFO]: Reducing radius to 24
[2026-05-17 20:40:48,038 | DEBUG]: Verifying radius 24...
[2026-05-17 20:40:48,211 | INFO]: Reducing radius to 23
[2026-05-17 20:40:48,211 | DEBUG]: Verifying radius 23...
[2026-05-17 20:40:49,139 | INFO]: Reducing radius to 22
[2026-05-17 20:40:49,139 | DEBUG]: Verifying radius 22...
[2026-05-17 20:40:50,004 | INFO]: Reducing radius to 21
[2026-05-17 20:40:50,005 | DEBUG]: Verifying radius 21...
[2026-05-17 20:40:50,771 | INFO]: Verified radius 21. Collecting block data...
[2026-05-17 20:40:58,388 | INFO]: Scan successfully completed at radius: 21
[2026-05-17 20:40:58,389 | INFO]: Finished scanning...
[2026-05-17 20:40:58,389 | INFO]: Starting filter...
[2026-05-17 20:40:58,456 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,472 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,458 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,616 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,629 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,647 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,673 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,682 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,706 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,728 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,773 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,794 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,799 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,825 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,833 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,876 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,891 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,911 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,934 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,946 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,982 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:58,982 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,005 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,034 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,048 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,090 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,096 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,133 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,165 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,198 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,203 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 20:40:59,227 | DEBUG]: Successfully colleted local detection blocks
