[2026-05-17 21:01:21,589 | INFO]: Starting scan...
[2026-05-17 21:01:21,596 | DEBUG]: Verifying radius 32...
[2026-05-17 21:01:23,250 | INFO]: Verified radius 32. Collecting block data...
[2026-05-17 21:01:43,907 | INFO]: Scan successfully completed at radius: 32
[2026-05-17 21:01:43,907 | INFO]: Finished scanning...
[2026-05-17 21:01:43,907 | INFO]: Starting filter...
[2026-05-17 21:01:43,951 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:43,992 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,136 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,151 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,148 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,180 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,162 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,194 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,206 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,230 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,267 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,268 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,311 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,344 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,364 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,370 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,372 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,406 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,435 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,461 | DEBUG]: Successfully colleted local detection blocks
[2026-05-17 21:01:44,513 | DEBUG]: Successfully colleted local detection blocks
